iter,id,x,y,fitness
0,0,997.1316,759.5855,0.0000
0,1,442.3353,845.3348,0.0000
0,2,254.7394,268.8533,0.0000
0,3,38.8290,889.8184,0.0000
0,4,825.7177,960.3577,0.0000
0,5,265.6953,512.6312,0.0000
0,6,895.3147,332.7377,0.0000
0,7,647.1660,323.6070,0.0000
0,8,393.7798,933.0186,0.0000
0,9,285.1011,616.4338,0.0000
0,10,485.5147,220.4062,0.0000
0,11,430.1935,967.6942,0.0000
0,12,280.6719,192.5299,0.0000
0,13,238.2645,435.3597,0.0000
0,14,627.4717,841.4670,0.0000
0,15,144.2673,624.6034,0.0000
0,16,601.0525,586.6026,0.0000
0,17,469.9381,855.7919,0.0000
0,18,855.4559,508.7672,0.0000
0,19,745.6103,681.1736,0.0000
0,20,469.1248,11.3056,0.0000
0,21,193.8048,364.4396,0.0000
0,22,344.0433,840.9709,0.0000
0,23,688.0465,737.8231,0.0000
0,24,773.9894,973.1477,0.0000
0,25,354.2569,259.5041,0.0000
0,26,193.5538,784.4504,0.0000
0,27,227.1984,474.2257,0.0000
0,28,976.9803,465.4629,0.0000
0,29,909.5855,604.4521,0.0000
0,30,306.9299,53.8528,0.0000
0,31,229.0554,907.9823,0.0000
0,32,640.4554,698.9936,0.0000
0,33,763.7742,495.9113,0.0000
0,34,207.7607,509.3845,0.0000
0,35,177.0849,676.8855,0.0000
0,36,520.6901,370.8897,0.0000
0,37,41.3251,864.7334,0.0000
0,38,211.8606,729.3716,0.0000
0,39,602.5565,985.8500,0.0000
0,40,702.5193,956.8134,0.0000
0,41,245.3541,896.0731,0.0000
0,42,741.2638,472.5525,0.0000
0,43,370.2989,718.2441,0.0000
0,44,938.0154,279.8843,0.0000
0,45,322.6962,244.9453,0.0000
0,46,333.7371,551.7516,0.0000
0,47,152.9276,974.1925,0.0000
0,48,250.7451,916.7018,0.0000
0,49,470.1038,458.5059,0.0000
0,50,426.0863,647.1886,0.0000
0,51,135.3914,946.7764,0.0000
0,52,18.0783,176.7165,0.0000
0,53,811.5097,229.9389,0.0000
0,54,906.0881,414.0662,0.0000
0,55,215.7889,608.6074,0.0000
0,56,370.8796,461.1430,0.0000
0,57,504.6805,112.1434,0.0000
0,58,933.6955,874.9794,0.0000
0,59,830.3875,871.7110,0.0000
0,60,154.8638,153.0837,0.0000
0,61,116.6562,488.6009,0.0000
0,62,704.8353,269.5838,0.0000
0,63,462.7934,955.5804,0.0000
0,64,186.2856,932.8971,0.0000
0,65,414.0863,612.3719,0.0000
0,66,580.0858,549.4777,0.0000
0,67,559.1483,598.1641,0.0000
0,68,726.1941,370.6581,0.0000
0,69,828.1030,632.2822,0.0000
0,70,784.7243,43.8918,0.0000
0,71,240.8896,155.6040,0.0000
0,72,505.0348,745.5702,0.0000
0,73,267.7474,438.7304,0.0000
